Categoría,Cantidad
Bibliotecas Populares,2017
Espacios de Exhibición Patrimonial,1182
Salas de cine,329
museos,1182
cine,329
biblioteca_popular,2017
Bibliotecas Populares Buenos Aires,543
Bibliotecas Populares Catamarca,38
Bibliotecas Populares Chaco,70
Bibliotecas Populares Chubut,48
Bibliotecas Populares Ciudad Autónoma de Buenos Aires,43
Bibliotecas Populares Corrientes,58
Bibliotecas Populares Córdoba,185
Bibliotecas Populares Entre Ríos,58
Bibliotecas Populares Formosa,25
Bibliotecas Populares Jujuy,40
Bibliotecas Populares La Pampa,72
Bibliotecas Populares La Rioja,24
Bibliotecas Populares Mendoza,67
Bibliotecas Populares Misiones,40
Bibliotecas Populares Neuquén,70
Bibliotecas Populares Río Negro,66
Bibliotecas Populares Salta,64
Bibliotecas Populares San Juan,54
Bibliotecas Populares San Luis,45
Bibliotecas Populares Santa Cruz,21
Bibliotecas Populares Santa Fe,272
Bibliotecas Populares Santa Fé,1
Bibliotecas Populares Santiago del Estero,67
Bibliotecas Populares Tierra del Fuego,9
Bibliotecas Populares Tucumán,37
Espacios de Exhibición Patrimonial Buenos Aires,152
Espacios de Exhibición Patrimonial Catamarca,32
Espacios de Exhibición Patrimonial Chaco,33
Espacios de Exhibición Patrimonial Chubut,45
Espacios de Exhibición Patrimonial Ciudad Autónoma de Buenos Aires,132
Espacios de Exhibición Patrimonial Corrientes,14
Espacios de Exhibición Patrimonial Córdoba,126
Espacios de Exhibición Patrimonial Entre Ríos,57
Espacios de Exhibición Patrimonial Formosa,7
Espacios de Exhibición Patrimonial Jujuy,47
Espacios de Exhibición Patrimonial La Pampa,45
Espacios de Exhibición Patrimonial La Rioja,17
Espacios de Exhibición Patrimonial Mendoza,63
Espacios de Exhibición Patrimonial Misiones,32
Espacios de Exhibición Patrimonial Neuquén ,39
Espacios de Exhibición Patrimonial Río Negro,19
Espacios de Exhibición Patrimonial Salta,36
Espacios de Exhibición Patrimonial San Juan,23
Espacios de Exhibición Patrimonial San Luis,31
Espacios de Exhibición Patrimonial Santa Cruz,20
Espacios de Exhibición Patrimonial Santa Fe,162
Espacios de Exhibición Patrimonial Santiago del Estero,10
"Espacios de Exhibición Patrimonial Tierra del Fuego, Antártida e Islas del Atlántico Sur",14
Espacios de Exhibición Patrimonial Tucumán,26
Salas de cine Buenos Aires,106
Salas de cine Catamarca,4
Salas de cine Chaco,4
Salas de cine Chubut,9
Salas de cine Ciudad Autónoma de Buenos Aires,35
Salas de cine Corrientes,8
Salas de cine Córdoba,35
Salas de cine Entre Ríos,13
Salas de cine Formosa,2
Salas de cine Jujuy,4
Salas de cine La Pampa,6
Salas de cine La Rioja,5
Salas de cine Mendoza,16
Salas de cine Misiones,6
Salas de cine Neuquén,5
Salas de cine Río Negro,7
Salas de cine Salta,10
Salas de cine San Juan,6
Salas de cine San Luis,4
Salas de cine Santa Cruz,5
Salas de cine Santa Fe,23
Salas de cine Santiago del Estero,5
Salas de cine Tierra del Fuego,3
Salas de cine Tucumán,8
